City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yerbogachen,RU,2020-11-26 17:42:25,61.28,108.01,2.97,93,85,8.05
1,Menton,FR,2020-11-26 17:42:26,43.78,7.5,55.4,76,40,6.93
2,Vaini,TO,2020-11-26 17:42:27,-21.2,-175.2,75.2,94,20,8.05
3,Kapaa,US,2020-11-26 17:42:27,22.08,-159.32,71.6,94,90,8.05
4,Qaanaaq,GL,2020-11-26 17:42:27,77.48,-69.36,-9.63,70,3,3.65
5,Veraval,IN,2020-11-26 17:42:28,20.9,70.37,76.66,42,29,15.68
6,Anadyr,RU,2020-11-26 17:42:28,64.75,177.48,10.4,85,0,13.42
7,Shieli,KZ,2020-11-26 17:42:28,44.17,66.75,36.66,75,100,6.08
8,Tocopilla,CL,2020-11-26 17:42:28,-22.09,-70.2,67.78,55,90,2.82
9,Souillac,MU,2020-11-26 17:42:29,-20.52,57.52,75.2,78,40,6.93
10,Vestmannaeyjar,IS,2020-11-26 17:42:30,63.44,-20.27,37.4,69,40,35.57
11,Rio Maior,PT,2020-11-26 17:42:30,39.34,-8.94,57.99,76,43,8.99
12,The Valley,AI,2020-11-26 17:42:30,18.22,-63.06,86.0,69,20,11.41
13,Jamestown,US,2020-11-26 17:42:30,42.1,-79.24,50.0,93,90,17.22
14,Atuona,PF,2020-11-26 17:42:31,-9.8,-139.03,77.32,73,72,15.19
15,Prado,BR,2020-11-26 17:42:31,-17.34,-39.22,78.67,74,97,11.48
16,Nanortalik,GL,2020-11-26 17:42:31,60.14,-45.24,29.68,85,48,35.28
17,Longyearbyen,SJ,2020-11-26 17:42:31,78.22,15.64,23.0,62,75,25.28
18,Waingapu,ID,2020-11-26 17:42:33,-9.66,120.26,81.18,77,100,3.42
19,Bonavista,CA,2020-11-26 17:42:34,48.65,-53.11,39.99,86,100,5.82
20,Alice Springs,AU,2020-11-26 17:42:34,-23.7,133.88,71.6,40,0,6.31
21,Cape Town,ZA,2020-11-26 17:42:17,-33.93,18.42,64.99,59,20,23.04
22,Ayorou,NE,2020-11-26 17:42:35,14.73,0.92,82.92,15,0,7.43
23,Konevo,RU,2020-11-26 17:42:35,62.12,39.32,28.17,98,100,11.48
24,Rikitea,PF,2020-11-26 17:42:35,-23.12,-134.97,74.79,81,100,10.07
25,Provideniya,RU,2020-11-26 17:42:36,64.38,-173.3,23.27,91,40,6.42
